INFO 2025-09-24 18:00:39,663 autoreload 19484 1340 Watching for file changes with StatReloader
INFO 2025-09-25 07:34:43,978 basehttp 31280 20172 "GET /static/admin/js/calendar.js HTTP/1.1" 200 8466
INFO 2025-09-25 07:34:43,979 basehttp 31280 7448 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2025-09-25 07:34:43,980 basehttp 31280 5456 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-09-25 07:34:44,008 basehttp 31280 20172 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15292
INFO 2025-09-25 07:34:44,058 basehttp 31280 20172 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-09-25 07:34:44,222 basehttp 31280 5456 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-09-25 07:34:44,225 basehttp 31280 7448 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-09-25 07:34:44,226 basehttp 31280 20172 "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2025-09-25 07:34:44,227 basehttp 31280 5456 "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2025-09-25 07:34:44,235 basehttp 31280 20172 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-09-25 07:34:44,236 basehttp 31280 7448 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
WARNING 2025-09-25 07:34:57,408 log 31280 16284 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:34:57,409 basehttp 31280 16284 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:35:30,190 log 31280 16284 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:35:30,191 basehttp 31280 16284 "POST /api/v1/auth/login HTTP/1.1" 404 3461
INFO 2025-09-25 07:35:40,187 basehttp 31280 41372 "GET /admin/users/user/ HTTP/1.1" 200 14178
INFO 2025-09-25 07:35:40,287 basehttp 31280 13360 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-09-25 07:35:40,300 basehttp 31280 41372 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6566
INFO 2025-09-25 07:35:40,344 basehttp 31280 41372 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-09-25 07:35:40,399 basehttp 31280 41372 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-09-25 07:36:12,630 basehttp 31280 34888 "GET /admin/users/ HTTP/1.1" 200 5101
INFO 2025-09-25 07:36:13,614 basehttp 31280 34888 "GET /admin/ HTTP/1.1" 200 8206
WARNING 2025-09-25 07:38:19,635 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:19,636 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:20,782 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:20,796 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:22,235 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:22,236 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:22,553 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:22,554 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:22,748 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:22,749 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:22,960 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:22,961 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:23,126 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:23,127 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:23,287 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:23,287 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:23,459 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:23,460 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:23,635 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:23,635 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:23,801 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:23,802 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:23,971 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:23,971 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:24,138 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:24,138 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:24,308 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:24,309 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:24,480 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:24,481 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:24,651 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:24,651 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:24,823 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:24,824 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
